"id","symbol","period","open_time","close_time","open","close","high","low","volume","quote_asset_volume","num_trades","first_id","last_id","taker_buy_base_asset_volume","taker_buy_quote_asset_volume","create_time","update_time","event_time","receive_time"
"1406821928982855681","BTCUSDT","1m","1624247400000","1624247459999","34678.31","34633.59","34710.97","34628.02","733.933","25458093.74048","5376","1042429003","1042434378","380.506","13200514.47663","21/6/2021 03:51:00","21/6/2021 03:51:00","1624247460008","1624247460014"
"1406821677404270594","BTCUSDT","1m","1624247340000","1624247399999","34657.41","34680","34680","34600","1175.112","40701565.43817","9408","1042419595","1042429002","496.194","17189079.66753","21/6/2021 03:50:00","21/6/2021 03:50:00","1624247400028","1624247400033"
"1406821425817333762","BTCUSDT","1m","1624247280000","1624247339999","34653.79","34657.12","34698.24","34650.69","482.549","16733254.23844","4495","1042415100","1042419594","257.452","8927414.73501","21/6/2021 03:49:00","21/6/2021 03:49:00","1624247340030","1624247340051"
"1406821175371284481","BTCUSDT","1m","1624247220000","1624247279999","34713.47","34653.78","34717.47","34642.49","1458.781","50574574.73704","13346","1042401754","1042415099","545.87","18925686.13262","21/6/2021 03:48:00","21/6/2021 03:48:00","1624247280061","1624247280339"
"1406820922370830338","BTCUSDT","1m","1624247160000","1624247219999","34795.53","34713.45","34820.95","34688","895.757","31127910.23914","7833","1042393921","1042401753","300.578","10448599.70001","21/6/2021 03:47:00","21/6/2021 03:47:00","1624247220018","1624247220020"
"1406820671165612034","BTCUSDT","1m","1624247100000","1624247159999","34766.42","34795.53","34828.14","34765.43","839.277","29208146.43401","5922","1042387999","1042393920","545.361","18979060.52069","21/6/2021 03:46:00","21/6/2021 03:46:00","1624247160104","1624247160127"
"1406820420123934721","BTCUSDT","1m","1624247040000","1624247099999","34742.25","34766.42","34780","34711.34","720.283","25025885.3874","5611","1042382388","1042387998","338.021","11746920.81105","21/6/2021 03:45:00","21/6/2021 03:45:00","1624247100029","1624247100275"
"1406820168213999618","BTCUSDT","1m","1624246980000","1624247039999","34750.28","34742.25","34783.5","34740.95","417.411","14510452.69429","3554","1042378834","1042382387","228.545","7945508.85538","21/6/2021 03:44:00","21/6/2021 03:44:00","1624247040021","1624247040214"
"1406819915721129986","BTCUSDT","1m","1624246920000","1624246979999","34758.88","34750.27","34785.07","34732.29","577.535","20073167.66036","4918","1042373916","1042378833","289.669","10068763.52035","21/6/2021 03:43:00","21/6/2021 03:43:00","1624246980009","1624246980015"
"1406819664318705665","BTCUSDT","1m","1624246860000","1624246919999","34811.69","34758.87","34811.7","34731","1004.477","34916448.23496","8439","1042365477","1042373915","354.406","12319284.48854","21/6/2021 03:42:00","21/6/2021 03:42:00","1624246920017","1624246920077"
